x (14.JPG),y (14.JPG),x (29.JPG),y (29.JPG)
5.58752,2921.86,1949.68,1657.06,
6.80837,2554.96,2787.53,1845.53,
11.4443,2904.5,1412.47,1801.39,
11.4443,2904.5,1412.47,1801.39,
14.0064,2908.23,1487.99,1782.92,
14.7785,2523.41,2787.53,1845.53,
18.8456,2496.23,746.34,1560.35,
20.3073,2498.79,2900.06,1948.49,
24.7809,2482.81,2787.53,1845.53,
35.944,2814.65,1966.99,1647.29,
35.944,2814.65,1966.99,1647.29,
45.0584,1836.93,1595.23,1081.04,
48.4709,1833.12,1596.4,1078.04,
48.4709,1833.12,1596.4,1078.04,
55.9954,1928.23,1606.72,1156.32,
57.1694,2728.97,1412.47,1801.39,
57.3533,1852.83,1641.28,486.97,
62.7189,1867.21,2819.19,2062.95,
62.8378,1840.71,1606,1083.37,
70.4548,2352.07,1362.39,1496.38,
78.0874,2644.59,1412.47,1801.39,
78.2409,2428.45,1940.24,1618.35,
78.3988,2433.26,1463.22,1538.28,
79.6786,2579.33,1966.99,1647.29,
79.6821,1867.07,2126,2579.59,
87.2856,2193.69,1039.2,1896.28,
87.5336,1852.5,3264.37,1243.88,
87.8441,1864.31,3350.41,1695.99,
90.6873,2899.46,1665.86,1832.56,
91.8667,1866.85,1626.2,1104.15,
91.8667,1866.85,1626.2,1104.15,
92.908,2312.64,2753.5,1172.35,
94.5136,2075.14,2595.66,1156.65,
95.032,2904.29,1668.11,1835.71,
98.2624,2562.04,1412.47,1801.39,
98.8729,2081.13,2835.41,2616.11,
98.9214,2426.04,1473.01,1535.04,
99.4323,2192.34,1511.08,1439.64,
100.994,1843.03,1629.13,1084.22,
106.35,2827.98,1412.47,1801.39,
108.383,2433.94,1760.99,1569.93,
118.684,2201.44,1836.06,364.487,
119.61,1871.68,1297.62,1889.53,
123.094,1983.05,1647.46,1202.4,
128.21,1870.35,2672.03,1862.32,
132.161,2441.66,2768.34,1834.19,
132.216,2113.14,2244.31,1358.31,
133.923,2736.72,1946.52,1621.78,
135.132,1982.17,1653.85,1201.29,
137.378,2257.45,737.024,1367.46,
137.692,1958.45,1654.36,1183.08,
139.779,2109.89,1662.33,1318.03,
145.375,1872.42,1659.44,1107.1,
146.996,2723.56,1412.47,1801.39,
147.141,2658.37,1966.99,1647.29,
150.196,2190.27,2718.02,2484,
150.401,1997.2,1662.47,1214.44,
153.025,2161.34,1692.98,546.805,
153.702,2010.37,1664.79,1225.46,
157.285,1863.64,2733.17,1908.41,
157.382,2163.14,1670.7,1347.5,
158.627,2017.04,2147.9,1239.29,
162.791,2004.03,2135.22,1249.15,
163.574,2018.6,1673.01,1231.06,
168.866,2643.15,1487.99,1782.92,
174.897,1880.46,1678.26,1112.74,
181.85,2071.28,91.7064,1330.38,
182.145,2295.93,877.72,2024.4,
183.937,2559.45,1412.47,1801.39,
189.904,2996.09,1773.2,2993.73,
193.861,2977.13,404.314,2304.4,
194.223,2187.94,1696.09,1366.35,
194.965,2889.67,1412.47,1801.39,
195.916,2142.8,3110.94,2569.63,
197.596,2891.67,1487.99,1782.92,
197.843,2961,2970.44,1519.12,
204.087,2961.58,1727.17,1715.38,
208.629,2914.52,1582.02,1864.02,
211.289,1901.07,1715.25,1967.96,
211.525,1979.53,3177.06,1974.55,
211.823,2929.38,2768.34,1834.19,
213.487,2212.03,535.439,1584.58,
214.945,2737.46,1412.47,1801.39,
216.87,1996.19,1706.56,1212.11,
217.427,2808.1,1768.58,1845.92,
221.782,1870.47,1911.13,1104.94,
223.74,2144.79,1707.64,1335.79,
225.153,2726.83,1567.54,1631.26,
226.459,1873.09,1709.33,1106.07,
228.716,1906.97,1713.34,1134.88,
232.775,2720,1412.47,1801.39,
232.775,2720,1412.47,1801.39,
234.078,1874.31,2660.4,2095.51,
234.653,2148.91,1669.82,1138.48,
240.036,2356.37,3293.96,1579.83,
240.737,1869.07,1718.86,1101.79,
242.726,1992.43,1719.97,1210.22,
247.673,2570.94,1487.99,1782.92,
249.1,1942.98,1407.41,1916.58,
252.309,2735.95,2787.53,1845.53,
