x (24.JPG),y (24.JPG),x (14.JPG),y (14.JPG)
36.1111,1866.09,1521.51,2394.88,
48.8678,2691.79,769.103,1893.11,
54.3428,2306.97,1217.85,1120.93,
62.6935,2165.9,2866.98,2753.1,
63.8468,2343.95,930.296,2355.14,
69.6922,2428.58,1323.99,2437.56,
79.9957,1861.3,1938.47,1037.93,
84.0066,2670.72,1391.07,2112.32,
86.1307,2428.24,1224.49,2439.6,
86.9918,2233.15,3728.11,2003.91,
92.0694,2306.44,1217.85,1120.93,
96.0976,2203.68,1709.89,175.591,
101.474,2490.5,19.9555,2492.8,
108.037,2336.86,2642.41,1967.85,
109.563,2395.75,2959.64,2373.96,
109.563,2395.75,2959.64,2373.96,
123.763,2319.84,1179.5,2873.56,
131.625,2338.4,1741.44,1763.57,
139.701,2292.65,1455.48,974.032,
176.13,2293.85,1782.44,526.485,
177.929,2897.7,1939.03,345.233,
180.801,2425.25,1323.99,2437.56,
190.874,2011.39,143.176,1916.99,
194.96,2418.95,3339.06,2396.74,
203.196,1864.32,678.405,1886.94,
218.807,2506.89,3078.08,2871.27,
247.112,2263.33,297.903,2495.63,
256.552,2203.56,1197.62,2269.19,
275.316,2633.89,2402.44,2173.66,
280.373,2449.58,1715.71,413.197,
283.36,2196.84,1683.34,1848.27,
303.674,2585.81,2833.53,2158.79,
308.036,1892.48,2941.1,2880.82,
310.344,2588.48,3080.65,2931.71,
317.04,2323.83,1062.79,2332.58,
322.631,2182.57,523.547,2399.36,
330.044,2408.96,1120.19,2334.58,
330.342,2158.97,523.698,2572.86,
332.658,2452.45,1188.81,2017.08,
336.69,2369.99,3051.3,2353.65,
339.794,1861.56,139.91,1846.46,
356.606,2569.22,77.0741,2931.45,
359.957,2790.03,3066.76,1978.89,
369.006,2247.79,3531.82,2261.89,
371.668,2860.96,105.301,2319.56,
382.007,2666.35,1147.1,2297.66,
382.488,2656.34,1811.13,1939.87,
384.826,2659.28,1957.28,2102.56,
387.798,2514.03,535.175,2975.99,
396.677,2083.26,21.5674,1914.46,
404.934,2541.81,2261.86,2037.76,
413.917,2180.21,1473.01,1691.65,
419.785,2379.16,509.202,1901.47,
438.071,2362.65,1647.42,2699.15,
444.348,2153.92,1469.25,929.396,
446.343,2176.81,1473.01,1691.65,
451.995,2895.66,549.178,2944.51,
456.786,2244.25,556.384,1930.01,
465.328,2160.14,1067.27,2257.48,
491.211,2901.77,3552.88,1993.84,
526.756,2165.8,1973.14,1271.61,
528.66,2240.43,1229.82,1828.75,
531.594,2244.45,523.698,2572.86,
536.83,1979.46,2799.98,1976.31,
541.528,2164.99,1625.53,2252.65,
551.239,2186.57,3578.21,2864.74,
559.441,2187.4,54.6673,1922.05,
563.987,2904.02,3560.68,1992.96,
572.669,1879.48,1205.52,1932.34,
574.863,2122.96,3904.27,2899.11,
575.847,2242.61,1825.14,1972.73,
579.334,2035.18,1988.48,1962.82,
586.099,2174.11,2649.57,2340.51,
588.152,2037.09,3741.98,2496.55,
599.234,2001.5,1422.5,649.359,
599.289,2269.55,1571.14,555.557,
600.539,2656.37,1191.88,2093.49,
606.896,2129.32,3732.24,2000.89,
608.047,2266.27,1075.5,2740.54,
624.63,2230.7,1766.34,1957.52,
628.598,2305.98,1800.35,2033.96,
634.205,2245.11,3804.52,2830.92,
637.158,2111.37,1522.72,557.131,
648.188,2840.36,1726.23,2260.71,
656.356,1898.46,1747.81,1038.19,
669.019,2143.4,1575.34,656.68,
693.138,2673.66,77.0741,2931.45,
701.453,1924.75,1971.5,672.917,
713.225,2677.78,1980.53,2558.12,
718.657,2604.96,1229.82,1828.75,
721.456,2609.35,523.698,2572.86,
723.521,2590.14,523.698,2572.86,
729.473,2543.76,523.698,2572.86,
731.663,2532.91,319.582,2804.63,
731.663,2532.91,319.582,2804.63,
734.803,2474.89,1229.82,1828.75,
735.848,2478.67,436.914,2629.29,
751.565,2096.9,1725.09,899.768,
759.627,2786.85,346.094,2634.57,
764.872,2705.47,412.15,2716.53,
766.548,2744.17,2133.96,556.439,
767.079,2676.36,1229.82,1828.75,
769.767,2680.82,523.698,2572.86,
770.86,2045.49,1261.47,1083.73,
772.182,2159.35,2822.62,2275.05,
775.113,2609.92,1229.82,1828.75,
777.324,2614.17,523.698,2572.86,
778.339,2889.59,1354.94,2079.06,
779.713,2603.31,157.886,2647.79,
785.82,2548.56,523.698,2572.86,
786.549,2116.05,1197.62,2269.19,
789.915,2108.54,1647.49,1171.29,
791.612,2895.58,2686.26,2964.14,
795.636,2464.94,523.698,2572.86,
815.412,2749.39,1229.82,1828.75,
819.802,2859.29,799.8,2760,
821.877,2868.11,2035.29,2445.98,
823.6,2681.93,1229.82,1828.75,
825.285,2867.66,2975.07,2430.8,
829.018,2666.37,523.698,2572.86,
830.741,2682.57,1222.2,1828.92,
831.284,2895.38,2082.62,1951.98,
831.938,2614.89,1229.82,1828.75,
833.588,2127,1938.03,655.357,
836.142,2619.6,430.899,2629.41,
839.438,2549.37,1229.82,1828.75,
846.313,2550.33,437.162,2646.76,
846.797,2484.5,1229.82,1828.75,
848.868,2488.73,523.698,2572.86,
848.995,2246.57,1300.87,1937.46,
852.53,2122.9,1625.24,1823.61,
870.65,2891.43,1504.18,2097.28,
870.65,2891.43,1504.18,2097.28,
873.123,2844.21,733.143,2669.38,
878.806,2380.72,3533.45,2334.16,
882.246,2379.84,3533.95,2337.67,
890.92,2311.49,41.4678,2361.66,
890.932,2314.88,40.9798,2365.69,
890.932,2314.88,40.9798,2365.69,
891.701,2757.17,1229.82,1828.75,
896.376,2167.74,8.95669,2188.13,
896.398,2305.07,50.1936,2353.22,
896.699,2761.68,430.899,2629.41,
897.421,2741.88,523.698,2572.86,
899.645,2689.65,1229.82,1828.75,
899.86,2689.45,1229.82,1828.75,
904.014,2693.85,430.899,2629.41,
904.101,2114.01,26.5192,2122.43,
904.101,2114.01,26.5192,2122.43,
904.371,2614.54,436.914,2629.29,
905,2674.17,523.698,2572.86,
907.066,2622.56,1229.82,1828.75,
907.722,2317.62,66.6921,2366.85,
909.226,1953,14.4448,1928.98,
909.243,2372.99,350.422,2431.7,
914.176,2556.01,1229.82,1828.75,
916.157,2177.76,34.2686,2198.8,
916.492,2310.04,82.2128,2356.09,
916.692,2561.02,523.698,2572.86,
916.92,1937.65,26.8826,1910.99,
918.012,1954.05,28.8913,1930.4,
921.091,2491.49,1229.82,1828.75,
921.091,2491.49,1229.82,1828.75,
922.696,2368.76,98.9214,2426.04,
923.885,2306.26,92.6807,2350.77,
923.885,2306.26,92.6807,2350.77,
925.859,2371.6,368.89,2427.23,
926.514,1898.84,38.9759,1864.33,
926.573,1894.35,39.9148,1858.39,
927.691,2151.63,57.5165,2165.64,
928.673,1896.48,43.0682,1861.19,
928.913,1876.09,45.0584,1836.93,
929.112,2375.92,108.383,2433.94,
930.858,1873.03,48.4709,1833.12,
930.858,1873.03,48.4709,1833.12,
934.332,1883.56,571.57,2929.13,
934.874,1953.06,55.9954,1928.23,
934.874,1953.06,55.9954,1928.23,
937.225,1900.84,56.0266,1866.39,
938.715,2176.2,2711.69,2235.81,
939.449,2145.3,76.5376,2157.22,
940.828,1878.92,62.8378,1840.71,
943.749,2160.15,81.71,2174.91,
944.337,1993.78,78.1138,1971.55,
944.791,1875.27,69.0465,1836.16,
947.074,1877.43,72.1069,1838.1,
947.51,2752.12,85.0849,2900.01,
948.867,1898.28,72.7156,1863.28,
950.52,2008.49,78.0704,1993.81,
951.774,2751.85,90.6873,2899.46,
952.013,1895.34,78.619,1857.71,
953.941,2756.51,95.032,2904.29,
954.301,1871.78,83.2632,1831.48,
954.712,1899.38,81.9244,1864.13,
957.151,1910.37,90.8733,1877.2,
957.953,2694.97,1229.82,1828.75,
958.796,2063.06,102.078,2058.46,
958.796,2063.06,102.078,2058.46,
960.396,2004.08,95.401,1987.64,
960.441,2699.57,523.698,2572.86,
961.689,1902.01,91.8667,1866.85,
961.689,1902.01,91.8667,1866.85,
963.382,2385.61,497.602,2439.56,
965.042,2696.31,437.162,2646.76,
965.271,1899.31,97.2906,1863.61,
965.293,2010.03,103.21,1995.07,
966.871,1880.71,100.994,1843.03,
968.181,2027.61,1983.16,2207.19,
968.458,2343.94,2580.96,2987.04,
969.499,1899.5,103.701,1863.92,
970.703,1924.85,108.266,1893.79,
970.732,1928.38,107.885,1898.03,
970.936,1983.17,113.845,1961.76,
971.291,2562.35,1229.82,1828.75,
971.996,1902.36,107.62,1867.26,
974.953,2566.6,523.698,2572.86,
975.35,1905.31,111.657,1870.84,
976.757,2141.36,126.32,2149.82,
977.532,2295.68,119.921,2335.05,
977.778,2497.13,1229.82,1828.75,
979.054,2000.26,123.094,1983.05,
979.683,2283.39,3207.42,2299.45,
979.928,1899.77,119.53,1863.13,
980.312,1995.64,125.565,1977.03,
980.579,2110.75,125.517,2114.14,
980.649,2501.47,523.698,2572.86,
982.311,2923.01,1693.33,2743.76,
982.957,2006.65,127.524,1990.22,
983.111,1902.92,123.886,1867.59,
983.898,2105.51,129.769,2107.09,
986.164,1904.92,128.21,1870.35,
987.532,2015.82,1464.13,2598.85,
988.487,1980.03,137.692,1958.45,
990.538,2000.68,139.376,1982.6,
990.538,2000.68,139.376,1982.6,
991.228,2013.04,142.364,1996.97,
993.484,2078.71,1159.43,2273.26,
998.253,1906.86,145.375,1872.42,
998.654,2029.76,3218.47,2828.62,
1000.37,1910.2,148.096,1876.3,
1002.57,1951.01,1705.18,500.552,
1004.09,1962.18,755.847,2422.97,
1005.53,2321.69,1355.69,2703.28,
1006.08,2288.42,162.003,2323.14,
1006.08,2288.42,162.003,2323.14,
1006.52,2876.04,579.402,2953.45,
1008.56,2769.54,1229.82,1828.75,
1012.35,1902.5,1651.33,887.589,
1015.84,2701.57,1229.82,1828.75,
1015.98,2701.38,1229.82,1828.75,
1019.96,1856.96,1103.95,1837.53,
1020.34,2694.75,206.579,2810.78,
1022.47,2634.2,1229.82,1828.75,
1023.96,2828.03,297.903,2495.63,
1024.83,2638.66,523.698,2572.86,
1025.37,2565.46,355.942,2568.36,
1025.99,2282.74,3018.19,2936.2,
1027.72,2140.18,2082.25,1988.49,
1028.57,2044.69,1119.06,2040.01,
1028.93,2149.7,1394.98,956.234,
1034.06,2300.22,1642.74,1446.4,
1034.63,2502.76,1229.82,1828.75,
1036.65,1847.33,1123.74,1826.04,
