FileName, GPS GPSAltitude Ratio, GPS GPSAltitudeRef Byte, GPS GPSLatitude Ratio, GPS GPSLatitudeRef ASCII, GPS GPSLongitude Ratio, GPS GPSLongitudeRef ASCII, GPS GPSVersionID Byte
1.JPG,9709/250,1,[29: 59: 23517/625],N,[90: 6: 17293/2500],W,[0: 0: 0: 0]
2.JPG,11559/250,1,[29: 59: 188771/5000],N,[90: 6: 69887/10000],W,[0: 0: 0: 0]
3.JPG,4917/125,1,[29: 59: 375059/10000],N,[90: 6: 13867/2000],W,[0: 0: 0: 0]
4.JPG,6367/125,1,[29: 59: 74511/2000],N,[90: 6: 1381/200],W,[0: 0: 0: 0]
5.JPG,6417/125,1,[29: 59: 374679/10000],N,[90: 6: 15947/2500],W,[0: 0: 0: 0]
6.JPG,11509/250,1,[29: 59: 376799/10000],N,[90: 6: 64173/10000],W,[0: 0: 0: 0]
7.JPG,10697/500,1,[29: 59: 368009/10000],N,[90: 6: 9179/1250],W,[0: 0: 0: 0]
8.JPG,10697/500,1,[29: 59: 370201/10000],N,[90: 6: 7591/1000],W,[0: 0: 0: 0]
9.JPG,5742/125,1,[29: 59: 377631/10000],N,[90: 6: 64917/10000],W,[0: 0: 0: 0]
10.JPG,21733/1000,1,[29: 59: 184497/5000],N,[90: 6: 69927/10000],W,[0: 0: 0: 0]
11.JPG,14897/500,1,[29: 59: 186693/5000],N,[90: 6: 15739/2000],W,[0: 0: 0: 0]
12.JPG,10647/500,1,[29: 59: 38423/1000],N,[90: 6: 66017/10000],W,[0: 0: 0: 0]
13.JPG,4967/125,1,[29: 59: 23556/625],N,[90: 6: 13249/2000],W,[0: 0: 0: 0]
14.JPG,6392/125,1,[29: 59: 372291/10000],N,[90: 6: 68011/10000],W,[0: 0: 0: 0]
15.JPG,21833/1000,1,[29: 59: 23283/625],N,[90: 6: 51161/10000],W,[0: 0: 0: 0]
16.JPG,10647/500,1,[29: 59: 191743/5000],N,[90: 6: 35699/5000],W,[0: 0: 0: 0]
17.JPG,5742/125,1,[29: 59: 4682/125],N,[90: 6: 15991/2500],W,[0: 0: 0: 0]
18.JPG,4692/125,1,[29: 59: 187737/5000],N,[90: 6: 13473/2000],W,[0: 0: 0: 0]
19.JPG,10697/500,1,[29: 59: 183109/5000],N,[90: 6: 68371/10000],W,[0: 0: 0: 0]
20.JPG,10697/500,1,[29: 59: 36717/1000],N,[90: 6: 71821/10000],W,[0: 0: 0: 0]
21.JPG,21533/1000,1,[29: 59: 92669/2500],N,[90: 6: 30297/5000],W,[0: 0: 0: 0]
22.JPG,5692/125,1,[29: 59: 18837/500],N,[90: 6: 14107/2000],W,[0: 0: 0: 0]
23.JPG,21833/1000,1,[29: 59: 364787/10000],N,[90: 6: 29733/5000],W,[0: 0: 0: 0]
24.JPG,6417/125,1,[29: 59: 186137/5000],N,[90: 6: 66903/10000],W,[0: 0: 0: 0]
25.JPG,21733/1000,1,[29: 59: 193403/5000],N,[90: 6: 68697/10000],W,[0: 0: 0: 0]
26.JPG,12659/500,1,[29: 59: 186749/5000],N,[90: 6: 3676/625],W,[0: 0: 0: 0]
27.JPG,10797/500,1,[29: 59: 92471/2500],N,[90: 6: 29481/5000],W,[0: 0: 0: 0]
28.JPG,10547/500,1,[29: 59: 187807/5000],N,[90: 6: 56857/10000],W,[0: 0: 0: 0]
29.JPG,22109/500,1,[29: 59: 74099/2000],N,[90: 6: 65387/10000],W,[0: 0: 0: 0]
30.JPG,10497/500,1,[29: 59: 383363/10000],N,[90: 6: 15617/2500],W,[0: 0: 0: 0]
31.JPG,10547/500,1,[29: 59: 381679/10000],N,[90: 6: 37191/5000],W,[0: 0: 0: 0]
32.JPG,11509/250,1,[29: 59: 375527/10000],N,[90: 6: 63833/10000],W,[0: 0: 0: 0]
33.JPG,10547/500,1,[29: 59: 381381/10000],N,[90: 6: 59571/10000],W,[0: 0: 0: 0]
34.JPG,12559/500,1,[29: 59: 369929/10000],N,[90: 6: 43833/10000],W,[0: 0: 0: 0]
35.JPG,12809/250,1,[29: 59: 378107/10000],N,[90: 6: 69711/10000],W,[0: 0: 0: 0]
36.JPG,29559/500,1,[29: 59: 370513/10000],N,[90: 6: 16337/2500],W,[0: 0: 0: 0]
37.JPG,11509/250,1,[29: 59: 376037/10000],N,[90: 6: 63919/10000],W,[0: 0: 0: 0]
38.JPG,5742/125,1,[29: 59: 94321/2500],N,[90: 6: 64493/10000],W,[0: 0: 0: 0]
39.JPG,17659/500,1,[29: 59: 370507/10000],N,[90: 6: 6537/1000],W,[0: 0: 0: 0]
40.JPG,21233/1000,1,[29: 59: 76201/2000],N,[90: 6: 10077/2000],W,[0: 0: 0: 0]
41.JPG,31259/500,1,[29: 59: 370473/10000],N,[90: 6: 65383/10000],W,[0: 0: 0: 0]
42.JPG,9909/250,1,[29: 59: 187717/5000],N,[90: 6: 65487/10000],W,[0: 0: 0: 0]
43.JPG,5742/125,1,[29: 59: 372639/10000],N,[90: 6: 68331/10000],W,[0: 0: 0: 0]
44.JPG,10797/500,1,[29: 59: 74227/2000],N,[90: 6: 2321/400],W,[0: 0: 0: 0]
45.JPG,6392/125,1,[29: 59: 188057/5000],N,[90: 6: 35561/5000],W,[0: 0: 0: 0]
46.JPG,22409/500,1,[29: 59: 92807/2500],N,[90: 6: 4487/625],W,[0: 0: 0: 0]
47.JPG,9759/250,1,[29: 59: 375687/10000],N,[90: 6: 69363/10000],W,[0: 0: 0: 0]
48.JPG,20209/500,1,[29: 59: 92619/2500],N,[90: 6: 16333/2500],W,[0: 0: 0: 0]
49.JPG,20659/500,1,[29: 59: 373259/10000],N,[90: 6: 63153/10000],W,[0: 0: 0: 0]
50.JPG,5767/125,1,[29: 59: 372537/10000],N,[90: 6: 67363/10000],W,[0: 0: 0: 0]
51.JPG,26709/500,1,[29: 59: 370511/10000],N,[90: 6: 65419/10000],W,[0: 0: 0: 0]
52.JPG,19009/500,1,[29: 59: 370477/10000],N,[90: 6: 65363/10000],W,[0: 0: 0: 0]
53.JPG,21733/1000,1,[29: 59: 93211/2500],N,[90: 6: 15101/2500],W,[0: 0: 0: 0]
54.JPG,6367/125,1,[29: 59: 46903/1250],N,[90: 6: 17797/2500],W,[0: 0: 0: 0]
55.JPG,5717/125,1,[29: 59: 373511/10000],N,[90: 6: 8751/1250],W,[0: 0: 0: 0]
56.JPG,11559/250,1,[29: 59: 75679/2000],N,[90: 6: 68289/10000],W,[0: 0: 0: 0]
57.JPG,22133/1000,1,[29: 59: 191567/5000],N,[90: 6: 38997/5000],W,[0: 0: 0: 0]
58.JPG,4967/125,1,[29: 59: 373917/10000],N,[90: 6: 8443/1250],W,[0: 0: 0: 0]
59.JPG,5742/125,1,[29: 59: 372847/10000],N,[90: 6: 6897/1000],W,[0: 0: 0: 0]
60.JPG,11459/250,1,[29: 59: 93289/2500],N,[90: 6: 65297/10000],W,[0: 0: 0: 0]
61.JPG,4792/125,1,[29: 59: 23441/625],N,[90: 6: 66811/10000],W,[0: 0: 0: 0]
62.JPG,12859/250,1,[29: 59: 377311/10000],N,[90: 6: 32103/5000],W,[0: 0: 0: 0]
63.JPG,9859/250,1,[29: 59: 187167/5000],N,[90: 6: 2751/400],W,[0: 0: 0: 0]
64.JPG,11509/250,1,[29: 59: 375031/10000],N,[90: 6: 63837/10000],W,[0: 0: 0: 0]
65.JPG,4917/125,1,[29: 59: 374837/10000],N,[90: 6: 34597/5000],W,[0: 0: 0: 0]
66.JPG,11509/250,1,[29: 59: 378399/10000],N,[90: 6: 33293/5000],W,[0: 0: 0: 0]
67.JPG,22033/1000,1,[29: 59: 193547/5000],N,[90: 6: 77621/10000],W,[0: 0: 0: 0]
68.JPG,6417/125,1,[29: 59: 372793/10000],N,[90: 6: 65321/10000],W,[0: 0: 0: 0]
