x to 2.JPG,y to 2.JPG
,
2500.28,798.831
3087.33,417.342
1727.13,1320.81
207.132,1832.7
595.393,64.4231
2741.88,2768.07
1962.62,1524.59
293.88,128.536
460.833,1896.56
1593.74,2055.56
419.843,772.12
757.504,1814.55
3518.64,1583.84
974.947,2007.75
2645.93,1279.51
359.638,471.102
2395.21,500.922
3797.98,1452.06
495.152,1047.44
293.88,128.536
293.88,128.536
587.45,1252.53
635.847,1638.68
510.159,1090.62
2710.9,1086.72
530.452,1165.21
1081.86,1924.03
559.459,81.8924
804.404,392.987
1190.52,1801.5
704.631,1882.98
1676.82,2983.69
378.264,473.201
277.418,313.462
198.6,2872.56
3473.25,1067.22
86.8296,2866.1
391.353,502.91
1943.02,2287.32
390.556,486.216
390.556,486.216
2235.2,671.081
293.88,128.536
611.965,1239.12
2635.96,2473.32
1854.44,968.677
3320.92,14.7585
21.9957,2072.44
412.412,121.964
3258.43,1193.94
2010.46,772.82
941,1135.9
537.128,1041.99
3147.53,260.96
1668.47,1114.99
353.458,2657.33
567.154,1154.61
555.613,1096.49
3126.46,2943.21
1225.16,2684.79
1741.14,2689.5
1572.46,2160.5
1190.13,2891.65
138.225,2101.86
739.933,2187.43
571.216,1137.16
3745.1,2313.12
2502.08,1296.85
507.691,841.275
3651.84,1105.87
561.212,1078.59
372.885,197.463
2581.59,2476.78
1296.25,133.624
599.127,153.057
2672.18,2283.53
3977.69,633.096
3194.04,2683.52
1190.15,2125.31
712.251,233.928
569.03,1047
2187.01,821.549
470.341,582.479
1806.99,63.3784
2594.82,694.013
3522,789.625
2769.05,1139.03
723.255,1752.17
723.693,1746.6
1389.14,1376.82
617.378,1230.57
2106.55,864.936
3275.02,913.711
588.093,1063.86
731.383,1756.42
493.567,592.179
1742.6,1463.41
747.316,1802.79
2468.25,182.326
731.007,1738.43
486.644,533.659
2584.6,1432.91
551.535,840.826
2743.62,1619.24
737.954,1741.07
3848.61,713.935
568.753,572.854
1980.44,2414.66
3767.79,1711.52
2403.53,796.183
481.424,471.51
2901.97,2321.58
3554.28,346.06
3705.7,190.716
604.585,1019.56
969.856,2384.46
431.371,193.462
339.545,1068.23
1816.82,398.616
2038.97,2437.72
2506.96,2714.54
1565.86,2430.13
2428.33,549.641
488.053,392.262
777.566,28.8969
2868.37,2898.45
785.734,1848.91
489.254,382.38
1917.67,2348.33
1011.15,1107.76
2505.95,2259.38
942.058,1432.71
724.08,1646.45
1011.38,1073.99
3132.6,1034.63
430.714,44.7789
512.609,408.704
510.136,400.543
2747.91,1051.86
639.701,2162.2
2732.47,1979.57
561.548,610.56
1129.05,1527.14
546.812,521.566
437.813,52.7613
3808.93,1625.99
741.551,1563.81
494.221,290.683
3082.13,1517.94
447.391,1747.46
472.728,178.459
804.971,1848.18
1684.14,2297.66
86.2227,2624.42
3258.95,2560.17
1583.12,881.613
611.881,840.415
913.098,346.926
506.126,288.005
668.994,1115.27
1607.55,1094.58
753.768,1561.19
544.042,449.506
801.607,1787.6
1570.46,256.404
619.205,838.268
1284.89,1741.8
3289.13,717.626
2158.59,899.541
537.181,365.065
2028.73,2852.06
820.221,2582.49
544.108,396.224
787.278,1731.05
695.161,1172.78
2969.33,2496.61
763.367,1648.14
699.649,1177.67
434.189,222.299
552.527,380.666
1989.7,1919.33
806.313,1741.4
808.666,1738.35
808.666,1738.35
2310.12,598.363
811.589,1740.3
558.856,368.757
678.41,1561.16
770.999,1524.01
571.42,425.348
696.333,1088.01
546.85,261.513
698.362,1091.1
2772.57,2647.53
652.844,819.637
3873.54,1766.07
553.375,847.693
552.779,264.597
694.718,1029.11
589.075,431.117
1977.68,2612.89
368.245,2578.44
1600.87,2084.07
801.616,1602.09
3246.92,1437.62
3640.52,42.7895
583.416,367.701
402.258,1658.07
674.242,850.668
733.147,1185.98
1603.85,2090.67
2082.79,661.45
597.506,412.854
1953.45,359.03
3512.76,2814.98
736.853,1178.42
2809.8,2729.95
577.444,259.86
808.612,1580.96
808.612,1580.96
557.486,149.252
316.558,2514.16
307.546,2783.94
3223.88,941.212
859.49,1808.24
731.044,1078.14
601.695,355.853
604.699,360.898
3767.09,1457.6
606.504,367.225
1969.45,163.991
639.704,543.513
791.207,1028.41
3190.77,2219.53
622.599,437.838
2211.02,718.387
592.562,256.49
736.054,1077.48
594.845,274.743
594.845,274.743
609.754,356.579
2747.77,1373.89
848.078,1733.16
620.711,410.13
624.969,429.6
628.142,439.837
3846.32,1486.62
180.745,1846.27
745.463,1901.2
629.565,444.645
615.33,357.861
732.622,1044.6
412.412,121.964
3192.24,630.211
743.555,1070.15
3486.62,140.841
3087.33,2251.59
2130.95,1358.94
2705.23,2211.47
1675.53,2323.84
710.68,841.528
1698.42,2312.78
831.56,1347.53
774.732,1169.77
641.99,423.976
644.902,439.792
676.282,622.928
718.415,854.067
2806,2962.96
770.68,1164.61
770.68,1164.61
3721.66,342.995
720.125,857.829
720.195,849.593
599.127,153.057
619.837,252.799
3284.86,910.517
705.737,1910.77
647.586,402.093
772.282,1141.62
649.683,397.595
776.917,1153.43
3742.62,1694.31
627.995,250.728
1180.65,2886.49
3194.4,947.242
3893.81,879.688
1537.71,2978.97
736.141,855.396
412.412,121.964
838.769,1289.27
881.838,1744.13
1463.66,2698.41
665.856,412.71
880.685,1723.12
1247.09,1134.04
2293.67,959.827
664.147,394.172
662.426,1572.59
774.554,1045.68
671.107,419.797
671.107,419.797
1202.61,1887.14
2395.88,1741.91
512.118,1262.93
330.244,1517.92
341.143,1328.71
21.9957,2072.44
783.945,1056.55
669.318,365.031
2030.74,15.8259
817.289,1264.23
817.289,1264.23
801.614,1149.39
655.208,168.817
3155.13,2737.31
934.488,1138.54
758.796,861.37
945.432,1967.1
329.784,233.373
681.904,339.773
1891.3,130.864
914.145,1793.68
809.347,1125.85
670.373,242.319
3518.17,2810.16
1086.86,155.861
915.192,1796.34
692.714,388.031
768.841,853.909
840.843,820.22
904.81,1720.03
657.501,138.056
949.15,1941.31
1895.58,2246.87
920.626,1794.38
817.996,1122.55
1514.94,1219.88
489.816,169.723
855.396,2235.59
713.8,419.265
814.506,1033.73
827.541,1134.53
2582.77,689.329
786.634,865.687
3367.86,251.1
1243.5,1471.27
928.485,1780.59
928.485,1780.59
828.319,1117.12
848.118,1944.31
619.876,848.635
770.847,729.378
822.903,1077.53
786.91,836.249
818.667,1043.5
224.756,183.387
2114.4,1653.11
864.754,1346.11
2001.64,1003.02
1057.03,1485.48
889.528,1501.46
2365.82,2448.91
2030.23,2050.37
938.322,1460.08
934.927,1769.63
800.547,872.058
971.603,1954.1
1966.59,242.761
707.04,235.174
840.937,1111.45
1260.03,1244.14
707.839,242.545
3440.99,2100.62
804.425,865.193
804.425,865.193
1677.94,2821.25
2661.99,2132.09
3594.82,2711.76
620.941,1411.4
848.461,1108.46
1412.94,1515.97
1088.07,2067.18
740.963,379.476
1189.04,388.692
856.142,1100.48
2086.51,2248.13
833.171,2213.54
231.2,1727.27
850.676,1316.42
743.944,319.524
3805.83,2766.48
1903.83,2228.57
941.907,1690.83
1768.84,1940.67
961.278,1791.04
946.325,1697.11
755.596,357.84
834.069,882.046
762.351,386.594
764.617,404.278
1030.95,2368.5
783.39,508.482
763.861,380.402
998.069,1958.5
998.069,1958.5
2736.15,1701.88
893.445,1280.06
992.208,1929.6
831.813,839.561
1650.61,81.226
